,your_best(red)
,<Average Winning Rate>
your_base1,1.0
your_base2,0.8
your_base3,-0.5
baseline,1.0
Num_Win,3.0
Avg_Winning_Rate,0.575
,<Average Scores>
your_base1,4.4
your_base2,3.0
your_base3,0.0
baesline,11.4
Avg_Score,4.7
